group	code
c_auto	353
c_auto	388
c_auto	620
c_auto	833
c_auto	1066
c_auto	1090
c_auto	1538
c_auto	1767
c_auto	2135
c_auto	2208
c_auto	2623
c_auto	2712
c_auto	3240
c_auto	3492
c_auto	4839
c_auto	5185
c_auto	6408
c_auto	6459
c_auto	6947
c_auto	7080
c_auto	8427
c_auto	10022
c_auto	10308
c_auto	11037
c_auto	11118
c_auto	13420
c_auto	13439
c_auto	13641
c_auto	13889
c_auto	14044
c_auto	14176
c_auto	14257
c_auto	14320
c_auto	14974
c_auto	15199
c_auto	18163
c_auto	18767
c_auto	19020
c_auto	21270
c_auto	25275
c_auto	27022
c_auto	27065
c_auto	29440
c_auto	31550
c_auto	32301
c_auto	34606
c_auto	35483
c_auto	37036
c_auto	38733
c_auto	44598
p_auto	353
p_auto	388
p_auto	620
p_auto	692
p_auto	715
p_auto	1066
p_auto	1090
p_auto	1538
p_auto	1767
p_auto	2003
p_auto	2143
p_auto	3240
p_auto	4839
p_auto	5185
p_auto	6947
p_auto	7080
p_auto	8427
p_auto	8559
p_auto	10022
p_auto	13420
p_auto	13439
p_auto	13501
p_auto	13528
p_auto	13587
p_auto	13595
p_auto	13641
p_auto	13889
p_auto	14044
p_auto	14176
p_auto	14257
p_auto	14311
p_auto	14443
p_auto	15199
p_auto	15393
p_auto	15660
p_auto	16373
p_auto	16799
p_auto	18163
p_auto	18791
p_auto	23574
p_auto	25275
p_auto	27022
p_auto	27065
p_auto	27499
p_auto	27766
p_auto	29440
p_auto	31550
p_auto	34509
p_auto	34592
p_auto	34606
w_comp	86
w_comp	337
w_comp	353
w_comp	388
w_comp	671
w_comp	715
w_comp	1252
w_comp	1538
w_comp	1767
w_comp	2135
w_comp	2712
w_comp	3034
w_comp	3240
w_comp	5185
w_comp	6408
w_comp	6807
w_comp	7080
w_comp	8559
w_comp	8672
w_comp	9466
w_comp	10385
w_comp	10699
w_comp	11347
w_comp	11703
w_comp	13439
w_comp	13528
w_comp	14176
w_comp	14320
w_comp	14508
w_comp	14974
w_comp	15148
w_comp	15199
w_comp	15334
w_comp	18309
w_comp	18538
w_comp	18767
w_comp	18791
w_comp	21172
w_comp	23108
w_comp	26433
w_comp	27529
w_comp	30589
w_comp	32875
w_comp	33499
w_comp	34576
w_comp	35408
w_comp	37370
w_comp	38687
w_comp	38733
w_comp	41300
o_liab	620
o_liab	669
o_liab	671
o_liab	683
o_liab	715
o_liab	833
o_liab	1538
o_liab	1767
o_liab	2003
o_liab	2135
o_liab	2143
o_liab	2208
o_liab	3240
o_liab	5185
o_liab	5320
o_liab	6459
o_liab	6947
o_liab	7625
o_liab	10657
o_liab	13501
o_liab	13919
o_liab	13994
o_liab	14044
o_liab	14176
o_liab	14257
o_liab	14370
o_liab	14915
o_liab	15113
o_liab	15148
o_liab	15210
o_liab	15571
o_liab	17043
o_liab	17450
o_liab	17493
o_liab	18163
o_liab	18686
o_liab	24830
o_liab	26797
o_liab	27065
o_liab	28550
o_liab	30449
o_liab	30651
o_liab	32301
o_liab	33049
o_liab	36315
o_liab	38733
o_liab	41068
o_liab	41580
o_liab	42439
o_liab	43354
